build_component_id,quantity,build_id,component_id
1,1,1,15
2,1,1,47
3,1,1,78
4,1,1,93
5,1,1,119
6,1,1,130
7,1,1,142
8,1,1,156
9,1,2,6
10,1,2,42
11,1,2,67
12,1,2,84
13,1,2,114
14,1,2,127
15,1,2,138
16,1,2,152
17,1,3,10
18,1,3,45
19,1,3,67
20,1,3,84
21,1,3,113
22,1,3,127
23,1,3,138
24,1,3,152
25,1,4,13
26,1,4,48
27,1,4,78
28,1,4,98
29,1,4,124
30,1,4,131
31,1,4,146
32,1,4,164
33,1,5,21
34,1,5,56
35,2,5,78
36,1,5,92
37,1,5,122
38,1,5,136
39,1,5,142
40,1,5,158
41,1,6,5
42,1,6,46
43,1,6,74
44,1,6,86
45,1,6,110
46,1,6,128
47,1,6,138
48,1,6,153
49,1,7,9
50,1,7,46
51,1,7,71
52,1,7,90
53,1,7,105
54,1,7,129
55,1,7,138
56,1,7,155
57,1,8,30
58,1,8,50
59,1,8,78
60,1,8,99
61,1,8,116
62,1,8,133
63,1,8,142
64,1,8,159
65,1,9,9
66,1,9,50
67,1,9,78
68,1,9,92
69,1,9,112
70,1,9,132
71,1,9,143
72,1,9,153
73,1,10,8
74,1,10,41
75,1,10,69
76,1,10,84
77,1,10,114
78,1,10,127
79,1,10,138
80,1,10,153
81,1,11,14
82,1,11,51
83,1,11,79
84,1,11,93
85,1,11,110
86,1,11,133
87,1,11,141
88,1,11,156
89,1,12,14
90,1,12,53
91,1,12,76
92,1,12,92
93,1,12,111
94,1,12,132
95,1,12,141
96,1,12,156
97,1,13,7
98,1,13,51
99,1,13,70
100,1,13,92
101,1,13,117
102,1,13,132
103,1,13,139
104,1,13,155
105,1,14,5
106,1,14,43
107,1,14,68
108,1,14,84
109,1,14,109
110,1,14,127
111,1,14,138
112,1,14,152
113,1,15,6
114,1,15,41
115,1,15,67
116,1,15,84
117,1,15,109
118,1,15,127
119,1,15,138
120,1,15,152
121,1,16,7
122,1,16,42
123,1,16,69
124,1,16,86
125,1,16,104
126,1,16,128
127,1,16,138
128,1,16,155
129,1,17,10
130,1,17,42
