request_id,budget,purpose,request_date,user_id
1,1722.65,Gaming,2025-05-23,27
2,585.69,General Use,2025-03-09,48
3,3152.42,3D Rendering,2025-05-05,52
4,823.0,General Use,2025-04-08,56
5,1954.37,Gaming,2025-07-01,12
6,686.81,General Use,2026-01-09,33
7,1522.76,Streaming,2025-11-27,9
8,1544.19,Gaming,2025-06-23,12
9,1297.85,Gaming,2025-04-08,57
10,556.07,General Use,2025-04-04,40
11,599.92,General Use,2026-04-18,23
12,823.21,General Use,2026-03-15,10
13,980.94,Gaming,2025-10-04,41
14,2450.39,Gaming,2026-04-20,59
15,799.79,Programming,2025-09-06,54
16,1218.79,Programming,2026-04-08,36
17,927.38,Programming,2025-07-19,9
18,614.1,General Use,2025-12-23,22
19,3323.74,3D Rendering,2025-09-07,52
20,878.02,Programming,2025-01-30,15
21,1433.76,Streaming,2026-01-18,43
22,980.23,Gaming,2025-09-02,26
23,2314.87,3D Rendering,2026-05-07,38
24,2262.15,Gaming,2025-02-05,38
25,1980.34,Gaming,2025-05-01,44
26,2406.55,Gaming,2025-10-19,31
27,3189.04,3D Rendering,2025-11-14,21
28,762.95,General Use,2025-10-17,11
29,3082.47,Video Editing,2025-04-15,39
30,1251.35,Streaming,2025-05-16,48
31,1103.01,Programming,2025-06-03,31
32,3072.23,Video Editing,2026-04-25,35
33,1633.26,Gaming,2025-10-16,10
34,1760.22,Gaming,2025-09-17,12
35,1259.96,Programming,2026-03-28,22
36,921.72,Programming,2025-03-22,10
37,3407.08,3D Rendering,2025-11-10,34
38,1423.15,Streaming,2025-12-08,57
39,2598.76,3D Rendering,2025-12-06,58
40,858.68,Programming,2026-04-01,12
41,1442.58,Streaming,2025-05-20,12
42,2421.26,3D Rendering,2025-06-25,24
43,1507.39,Streaming,2025-05-16,19
44,600.45,General Use,2026-04-10,38
45,1047.68,Gaming,2025-08-05,60
46,1479.36,Video Editing,2025-06-20,59
47,1082.27,Programming,2025-05-15,55
48,1353.47,Streaming,2025-12-28,16
49,2019.34,3D Rendering,2025-02-08,33
50,1027.35,Programming,2026-03-04,50
51,3105.05,3D Rendering,2025-08-09,29
52,1393.21,Gaming,2026-04-06,14
53,2338.28,Gaming,2025-04-18,56
54,1100.16,Programming,2025-07-01,49
55,3768.27,3D Rendering,2025-07-28,55
56,1123.64,Streaming,2026-04-22,45
57,1285.72,Programming,2026-02-20,21
58,509.91,General Use,2026-01-13,17
59,820.89,General Use,2026-03-19,27
60,860.08,Programming,2026-02-08,53
61,1512.07,Gaming,2025-01-20,50
62,588.97,General Use,2026-02-23,60
63,1949.34,Video Editing,2026-02-12,35
64,714.2,Programming,2025-04-09,20
65,1901.49,Video Editing,2025-02-05,31
66,2032.06,Video Editing,2025-09-18,55
67,1784.92,Streaming,2025-10-02,31
68,1084.55,Gaming,2025-05-14,27
69,3925.07,3D Rendering,2025-05-16,17
70,1854.51,Gaming,2025-06-26,8
71,2185.51,Video Editing,2025-09-19,52
72,859.8,General Use,2025-04-08,13
73,2034.06,Gaming,2025-01-01,22
74,3373.71,3D Rendering,2026-04-27,39
75,1536.5,Streaming,2025-07-06,53
76,2418.2,Gaming,2026-04-17,33
77,2627.83,3D Rendering,2026-03-11,27
78,1720.04,Streaming,2025-09-17,13
79,1326.71,Streaming,2025-07-26,25
80,2397.94,Video Editing,2025-04-09,50
