component_id,component_name,component_type,brand,price,specifications,compatibility_info
1,Ryzen 3 4100,CPU,AMD,67.79,"4 cores / 8 threads, 3.8–4.0 GHz, AM4",Socket AM4; DDR4 supported
2,Ryzen 5 2600,CPU,AMD,65.63,"6 cores / 12 threads, 3.4–3.9 GHz, AM4",Socket AM4; DDR4 supported
3,Ryzen 5 4500,CPU,AMD,76.88,"6 cores / 12 threads, 3.6–4.1 GHz, AM4",Socket AM4; DDR4 supported
4,Ryzen 5 5500,CPU,AMD,86.7,"6 cores / 12 threads, 3.6–4.2 GHz, AM4",Socket AM4; DDR4 supported
5,Ryzen 5 5600,CPU,AMD,149.46,"6 cores / 12 threads, 3.5–4.4 GHz, AM4",Socket AM4; DDR4 supported
6,Ryzen 5 5600X,CPU,AMD,167.07,"6 cores / 12 threads, 3.7–4.6 GHz, AM4",Socket AM4; DDR4 supported
7,Ryzen 5 7500F,CPU,AMD,205.69,"6 cores / 12 threads, 3.7–5.0 GHz, AM5",Socket AM5; DDR5 only
8,Ryzen 5 7600,CPU,AMD,203.48,"6 cores / 12 threads, 3.8–5.1 GHz, AM5",Socket AM5; DDR5 only
9,Ryzen 5 7600X,CPU,AMD,241.1,"6 cores / 12 threads, 4.7–5.3 GHz, AM5",Socket AM5; DDR5 only
10,Ryzen 7 5700X,CPU,AMD,171.49,"8 cores / 16 threads, 3.4–4.6 GHz, AM4",Socket AM4; DDR4 supported
11,Ryzen 7 5800X,CPU,AMD,240.93,"8 cores / 16 threads, 3.8–4.7 GHz, AM4",Socket AM4; DDR4 supported
12,Ryzen 7 5800X3D,CPU,AMD,310.32,"8 cores / 16 threads, 3.4–4.5 GHz, 96MB cache, AM4",Socket AM4; DDR4 supported
13,Ryzen 7 7700,CPU,AMD,271.59,"8 cores / 16 threads, 3.8–5.3 GHz, AM5",Socket AM5; DDR5 only
14,Ryzen 7 7700X,CPU,AMD,311.93,"8 cores / 16 threads, 4.5–5.4 GHz, AM5",Socket AM5; DDR5 only
15,Ryzen 7 7800X3D,CPU,AMD,431.99,"8 cores / 16 threads, 4.2–5.0 GHz, 96MB cache, AM5",Socket AM5; DDR5 only
16,Ryzen 9 7900,CPU,AMD,418.15,"12 cores / 24 threads, 3.7–5.4 GHz, AM5",Socket AM5; DDR5 only
17,Ryzen 9 7900X,CPU,AMD,437.64,"12 cores / 24 threads, 4.7–5.6 GHz, AM5",Socket AM5; DDR5 only
18,Ryzen 9 7950X,CPU,AMD,613.03,"16 cores / 32 threads, 4.5–5.7 GHz, AM5",Socket AM5; DDR5 only
19,Ryzen 9 7950X3D,CPU,AMD,700.94,"16 cores / 32 threads, 4.2–5.7 GHz, 128MB cache, AM5",Socket AM5; DDR5 only
20,Ryzen 9 9950X,CPU,AMD,600.78,"16 cores / 32 threads, 4.3–5.7 GHz, AM5",Socket AM5; DDR5 only
21,Ryzen 9 9950X3D,CPU,AMD,820.87,"16 cores / 32 threads, 4.3–5.7 GHz, 128MB cache, AM5",Socket AM5; DDR5 only
22,Threadripper 7960X,CPU,AMD,1609.44,"24 cores / 48 threads, 4.2–5.3 GHz, sTR5",Socket sTR5; DDR5 ECC
23,Threadripper 7980X,CPU,AMD,4738.18,"64 cores / 128 threads, 3.2–5.1 GHz, sTR5",Socket sTR5; DDR5 ECC
24,Core i3-12100F,CPU,Intel,90.44,"4 cores / 8 threads, 3.3–4.3 GHz, LGA1700",Socket LGA1700; DDR4/DDR5
25,Core i3-13100F,CPU,Intel,128.5,"4 cores / 8 threads, 3.4–4.5 GHz, LGA1700",Socket LGA1700; DDR4/DDR5
26,Core i5-12400F,CPU,Intel,143.46,"6 cores / 12 threads, 2.5–4.4 GHz, LGA1700",Socket LGA1700; DDR4/DDR5
27,Core i5-13400F,CPU,Intel,173.71,"10 cores / 16 threads, 2.5–4.6 GHz, LGA1700",Socket LGA1700; DDR4/DDR5
28,Core i5-13600K,CPU,Intel,264.84,"14 cores / 20 threads, 3.5–5.1 GHz, LGA1700",Socket LGA1700; DDR4/DDR5
29,Core i5-14600K,CPU,Intel,332.37,"14 cores / 20 threads, 3.5–5.3 GHz, LGA1700",Socket LGA1700; DDR4/DDR5
30,Core i7-13700K,CPU,Intel,406.22,"16 cores / 24 threads, 3.4–5.4 GHz, LGA1700",Socket LGA1700; DDR4/DDR5
31,Core i7-14700K,CPU,Intel,438.43,"20 cores / 28 threads, 3.4–5.6 GHz, LGA1700",Socket LGA1700; DDR4/DDR5
32,Core i9-13900K,CPU,Intel,612.97,"24 cores / 32 threads, 3.0–5.8 GHz, LGA1700",Socket LGA1700; DDR4/DDR5
33,Core i9-14900K,CPU,Intel,624.35,"24 cores / 32 threads, 3.2–6.0 GHz, LGA1700",Socket LGA1700; DDR4/DDR5
34,Core i9-14900KS,CPU,Intel,816.77,"24 cores / 32 threads, 3.2–6.2 GHz, LGA1700",Socket LGA1700; DDR4/DDR5
35,Xeon w7-3465X,CPU,Intel,3027.12,"28 cores / 56 threads, 2.5–4.8 GHz, LGA4677",Socket LGA4677; DDR5 ECC
36,GeForce GT 1030 2GB,GPU,NVIDIA,88.8,"2GB GDDR5, 384 CUDA cores",PCIe 3.0 x4; no external power
37,GeForce GTX 1650 4GB,GPU,NVIDIA,173.18,"4GB GDDR6, 896 CUDA cores",PCIe 3.0 x16; no external power
38,Radeon RX 6400,GPU,AMD,154.74,"4GB GDDR6, 768 stream processors",PCIe 4.0 x4; no external power
39,Radeon RX 6500 XT,GPU,AMD,193.09,"4GB GDDR6, 1024 stream processors",PCIe 4.0 x4; 1x 6-pin power
40,GeForce GTX 1660 Super,GPU,NVIDIA,208.87,"6GB GDDR6, 1408 CUDA cores",PCIe 3.0 x16; 1x 8-pin power
41,Radeon RX 6600,GPU,AMD,222.27,"8GB GDDR6, 1792 stream processors",PCIe 4.0 x8; 1x 8-pin power
42,Radeon RX 6600 XT,GPU,AMD,232.29,"8GB GDDR6, 2048 stream processors",PCIe 4.0 x8; 1x 8-pin power
43,GeForce RTX 3050 8GB,GPU,NVIDIA,213.67,"8GB GDDR6, 2560 CUDA cores",PCIe 4.0 x8; 1x 8-pin power
44,GeForce RTX 3060 12GB,GPU,NVIDIA,280.26,"12GB GDDR6, 3584 CUDA cores",PCIe 4.0 x16; 1x 8-pin power
45,Radeon RX 7600,GPU,AMD,244.79,"8GB GDDR6, 2048 stream processors",PCIe 4.0 x8; 1x 8-pin power
46,GeForce RTX 4060 8GB,GPU,NVIDIA,293.97,"8GB GDDR6, 3072 CUDA cores",PCIe 4.0 x8; 1x 8-pin power
47,Radeon RX 6700 XT,GPU,AMD,318.08,"12GB GDDR6, 2560 stream processors",PCIe 4.0 x16; 2x 8-pin power
48,GeForce RTX 3070,GPU,NVIDIA,365.02,"8GB GDDR6, 5888 CUDA cores",PCIe 4.0 x16; 1x 8-pin power
49,GeForce RTX 4060 Ti 8GB,GPU,NVIDIA,420.85,"8GB GDDR6, 4352 CUDA cores",PCIe 4.0 x8; 1x 16-pin power
50,Radeon RX 7700 XT,GPU,AMD,432.83,"12GB GDDR6, 3456 stream processors",PCIe 4.0 x16; 2x 8-pin power
51,Radeon RX 7800 XT,GPU,AMD,513.32,"16GB GDDR6, 3840 stream processors",PCIe 4.0 x16; 2x 8-pin power
