build_id,total_cost,recommendation_date,request_id
1,1593.31,2025-05-26,1
2,716.5,2025-03-11,2
3,711.46,2025-03-11,2
4,1840.76,2025-05-06,3
5,2898.35,2025-05-08,3
6,894.28,2025-04-11,4
7,1030.28,2025-04-10,4
8,1832.55,2025-07-04,5
9,1424.26,2025-07-04,5
10,766.34,2026-01-10,6
11,1654.04,2025-11-28,7
12,1622.17,2025-06-26,8
13,1308.7,2025-04-11,9
14,657.13,2025-04-05,10
15,683.82,2026-04-20,11
16,842.9,2026-03-15,12
17,849.5,2026-03-15,12
18,895.3,2025-10-06,13
19,2350.58,2026-04-23,14
20,833.28,2025-09-06,15
21,960.45,2025-09-06,15
22,1475.92,2026-04-10,16
23,965.31,2025-07-19,17
24,949.92,2025-07-22,17
25,720.85,2025-12-25,18
26,730.45,2025-12-26,18
27,3114.77,2025-09-08,19
28,1033.56,2025-02-01,20
29,925.12,2025-01-31,20
30,1252.17,2026-01-20,21
31,1188.54,2026-01-19,21
32,1175.89,2025-09-04,22
33,1090.05,2025-09-02,22
34,1730.22,2026-05-09,23
35,2270.36,2025-02-08,24
36,1814.97,2025-02-05,24
37,2064.87,2025-05-04,25
38,2122.87,2025-10-19,26
39,1966.43,2025-10-20,26
40,2725.4,2025-11-16,27
41,863.61,2025-10-17,28
42,2528.55,2025-04-15,29
43,2519.48,2025-04-18,29
44,1376.92,2025-05-18,30
45,1123.69,2025-06-06,31
46,2501.63,2026-04-28,32
47,1542.5,2025-10-17,33
48,1446.48,2025-09-17,34
49,1601.66,2025-09-20,34
50,1259.58,2026-03-28,35
51,1375.17,2026-03-31,35
52,965.91,2025-03-23,36
53,1047.18,2025-03-25,36
54,2412.7,2025-11-13,37
55,2704.89,2025-11-12,37
56,1332.26,2025-12-11,38
57,1158.4,2025-12-11,38
58,2187.17,2025-12-08,39
59,2266.75,2025-12-07,39
60,942.16,2026-04-01,40
61,1703.3,2025-05-22,41
62,1290.39,2025-05-23,41
63,1606.59,2025-06-28,42
64,1991.13,2025-06-26,42
65,1436.92,2025-05-18,43
66,733.82,2026-04-12,44
67,1164.44,2025-08-07,45
68,1018.54,2025-08-05,45
69,1287.71,2025-06-22,46
70,1514.05,2025-06-23,46
71,1002.74,2025-05-18,47
72,1223.29,2025-12-29,48
73,1840.9,2025-02-11,49
74,1058.06,2026-03-04,50
75,2513.61,2025-08-10,51
76,1917.51,2025-08-10,51
77,1447.85,2026-04-07,52
78,2186.77,2025-04-18,53
79,1121.5,2025-07-03,54
80,1807.72,2025-07-31,55
81,1043.97,2026-04-25,56
82,1340.88,2026-02-23,57
83,632.51,2026-01-14,58
84,886.62,2026-03-21,59
85,832.34,2026-03-22,59
86,1014.82,2026-02-11,60
87,1762.6,2025-01-21,61
88,1392.02,2025-01-22,61
89,691.4,2026-02-23,62
90,1592.98,2026-02-14,63
91,852.7,2025-04-12,64
92,1978.61,2025-02-05,65
93,1619.68,2025-09-19,66
94,1625.44,2025-10-03,67
95,1474.75,2025-10-02,67
96,1161.86,2025-05-16,68
97,2486.63,2025-05-16,69
98,1890.91,2025-06-26,70
99,2388.0,2025-09-20,71
100,910.04,2025-04-10,72
101,870.56,2025-04-10,72
102,2107.05,2025-01-03,73
103,3046.75,2026-04-27,74
104,1487.82,2025-07-08,75
105,1441.09,2025-07-07,75
106,1761.89,2026-04-20,76
107,2212.09,2026-03-14,77
108,1639.96,2025-09-17,78
109,1327.85,2025-09-20,78
110,1483.13,2025-07-26,79
111,1256.81,2025-07-27,79
112,2661.56,2025-04-11,80
113,2417.77,2025-04-10,80
